Cidade,Homologado
Agrolândia,2024 - 1º Bimestre
Alto Bela Vista,2023 - Anual
Anita Garibaldi,2024 - 1º Bimestre
Apiúna,2024 - 1º Bimestre
Arabutã,2024 - 1º Bimestre
Araquari,2024 - 1º Bimestre
Araranguá,2024 - 1º Bimestre
Arvoredo,2024 - 1º Bimestre
Ascurra,2024 - 2º Bimestre
Aurora,2024 - 1º Bimestre
Balneário Arroio do Silva,2024 - 1º Bimestre
Balneário Barra do Sul,2024 - 1º Bimestre
Balneário Piçarras,2024 - 1º Bimestre
Barra Bonita,2023 - Anual
Barra Velha,2024 - 1º Bimestre
Benedito Novo,2024 - 1º Bimestre
Biguaçu,2023 - Anual
Bombinhas,2024 - 1º Bimestre
Bom Retiro,2024 - 1º Bimestre
Botuverá,2024 - 1º Bimestre
Brusque,2023 - Anual
Camboriú,2024 - 2º Bimestre
Canoinhas,2024 - 2º Bimestre
Caxambu do Sul,2023 - Anual
Chapadão do Lageado,2024 - 1º Bimestre
Concórdia,2024 - 2º Bimestre
Corupá,2024 - 1º Bimestre
Cunha Porã,2023 - Anual
Doutor Pedrinho,2024 - 2º Bimestre
Fraiburgo,2024 - 1º Bimestre
Garopaba,2024 - 1º Bimestre
Garuva,2024 - 1º Bimestre
Gravatal,2023 - Anual
Guabiruba,2024 - 1º Bimestre
Guaraciaba,2024 - 2º Bimestre
Guaramirim,2024 - 1º Bimestre
Guarujá do Sul,2024 - 2º Bimestre
Ibirama,2024 - 1º Bimestre
Indaial,2024 - 1º Bimestre
Iporã do Oeste,2024 - 1º Bimestre
Irineópolis,2024 - 1º Bimestre
Itá,2024 - 1º Bimestre
Itapiranga,2024 - 2º Bimestre
Itapoá,2024 - 1º Bimestre
Ituporanga,2024 - 1º Bimestre
Jacinto Machado,2024 - 1º Bimestre
Jaguaruna,2023 - 5º Bimestre
Jardinópolis,2024 - 1º Bimestre
José Boiteux,2024 - 2º Bimestre
Laurentino,2024 - 1º Bimestre
Lontras,2024 - 1º Bimestre
Luiz Alves,2024 - 1º Bimestre
Massaranduba,2024 - 1º Bimestre
Mirim Doce,2024 - 1º Bimestre
Modelo,2024 - 1º Bimestre
Morro da Fumaça,2023 - Anual
Nova Erechim,2024 - 1º Bimestre
Ouro,2023 - Anual
Paial,2024 - 1º Bimestre
Palhoça,2024 - 1º Bimestre
Palma Sola,2024 - 1º Bimestre
Paraíso,2023 - Anual
Penha,2023 - Anual
Pinhalzinho,2024 - 1º Bimestre
Planalto Alegre,2024 - 2º Bimestre
Pomerode,2023 - Anual
Porto Belo,2024 - 1º Bimestre
Praia Grande,2024 - 1º Bimestre
Presidente Getúlio,2024 - 1º Bimestre
Presidente Nereu,2024 - 2º Bimestre
Princesa,2024 - 1º Bimestre
Rio das Antas,2024 - 2º Bimestre
Rio do Campo,2024 - 2º Bimestre
Rio do Oeste,2023 - Anual
Rio dos Cedros,2024 - 1º Bimestre
Rio do Sul,2024 - 2º Bimestre
Rio Negrinho,2024 - 1º Bimestre
Rodeio,2024 - 1º Bimestre
Salete,2024 - 1º Bimestre
Santa Helena,2024 - 1º Bimestre
Santa Rosa do Sul,2024 - 1º Bimestre
São Bento do Sul,2024 - 1º Bimestre
São Carlos,2024 - 1º Bimestre
São Francisco do Sul,2024 - 1º Bimestre
São João do Itaperiú,2024 - 1º Bimestre
São João do Sul,2023 - Anual
São José,2024 - 1º Bimestre
São José do Cedro,2024 - 1º Bimestre
Seara,2024 - 1º Bimestre
Serra Alta,2024 - 1º Bimestre
Sul Brasil,2023 - Anual
Taió,2024 - 1º Bimestre
Tijucas,2024 - 1º Bimestre
Timbé do Sul,2024 - 1º Bimestre
Timbó,2024 - 1º Bimestre
Três Barras,2023 - Anual
Treviso,2024 - 1º Bimestre
Treze Tílias,2024 - 1º Bimestre
Videira,2024 - 2º Bimestre
Vitor Meireles,2024 - 1º Bimestre
Witmarsum,2024 - 2º Bimestre
Zortéa,2023 - Anual
